group,model_A,model_B,total_pairs,acc_A,acc_B,p_A,r_A,f1_A,p_B,r_B,f1_B,b11,b10,b01,b00,statistic,p_value,exact,significant,conclusion
vanilla,v1_gru,v3_gru,6062,0.5270537776311448,0.30369515011547343,0.2910662824207493,0.5819462227912933,0.3880469583778015,0.07428754402817804,0.14852752880921896,0.09903948772678764,1184,2011,657,2210,686.1353073463268,3.095391602783091e-151,False,True,v1_gru (better F1)
vanilla,v1_gru,v3_lstm,6062,0.5270537776311448,0.2858792477730122,0.2910662824207493,0.5819462227912933,0.3880469583778015,0.056996477745757286,0.11395646606914213,0.0759871931696905,1044,2151,689,2178,751.5919014084507,1.8082787546729265e-165,False,True,v1_gru (better F1)
vanilla,v1_gru,v3_transformer,6062,0.5270537776311448,0.2746618277796107,0.2910662824207493,0.5819462227912933,0.3880469583778015,0.04610951008645533,0.09218950064020487,0.06147278548559231,943,2252,722,2145,786.0931405514459,5.69764951394647e-173,False,True,v1_gru (better F1)
vanilla,v1_lstm,v1_transformer,6062,0.33833718244803695,0.26146486308149125,0.10790906179955172,0.21574903969270168,0.14386339381003202,0.03330131284021774,0.06658130601792574,0.044397011739594455,984,1067,601,3410,129.63129496402877,4.934227157871977e-30,False,True,v1_lstm (better F1)
vanilla,v1_lstm,v2_gru,6062,0.33833718244803695,0.2700428901352689,0.10790906179955172,0.21574903969270168,0.14386339381003202,0.041626641050272174,0.08322663252240717,0.05549626467449307,831,1220,806,3205,84.19002961500493,4.494314649887886e-20,False,True,v1_lstm (better F1)
vanilla,v1_lstm,v2_lstm,6062,0.33833718244803695,0.2746618277796107,0.10790906179955172,0.21574903969270168,0.14386339381003202,0.04610951008645533,0.09218950064020487,0.06147278548559231,898,1153,767,3244,77.20052083333333,1.5445280737325365e-18,False,True,v1_lstm (better F1)
vanilla,v1_lstm,v2_transformer,6062,0.33833718244803695,0.24265918838667105,0.10790906179955172,0.21574903969270168,0.14386339381003202,0.01504963176432917,0.030089628681177975,0.02006403415154749,727,1324,744,3267,162.10880077369438,3.916688408085473e-37,False,True,v1_lstm (better F1)
vanilla,v1_lstm,v3_gru,6062,0.33833718244803695,0.30369515011547343,0.10790906179955172,0.21574903969270168,0.14386339381003202,0.07428754402817804,0.14852752880921896,0.09903948772678764,924,1127,917,3094,21.370352250489237,3.7858040644294937e-06,False,True,v1_lstm (better F1)
vanilla,v1_lstm,v3_lstm,6062,0.33833718244803695,0.2858792477730122,0.10790906179955172,0.21574903969270168,0.14386339381003202,0.056996477745757286,0.11395646606914213,0.0759871931696905,916,1135,817,3194,51.48002049180328,7.232945405040992e-13,False,True,v1_lstm (better F1)
vanilla,v1_lstm,v3_transformer,6062,0.33833718244803695,0.2746618277796107,0.10790906179955172,0.21574903969270168,0.14386339381003202,0.04610951008645533,0.09218950064020487,0.06147278548559231,877,1174,788,3223,75.54791029561672,3.566471970010271e-18,False,True,v1_lstm (better F1)
vanilla,v1_transformer,v2_gru,6062,0.26146486308149125,0.2700428901352689,0.03330131284021774,0.06658130601792574,0.044397011739594455,0.041626641050272174,0.08322663252240717,0.05549626467449307,890,695,747,3730,1.80374479889043,0.17926042546859444,False,False,No significant difference
